A_id,A_name,A_description,A_logitude,A_latitude,A_visited,A_category
1,Guia Hill Municipal Park,,113.5526356,22.1989336,0,3
2,Flora Park,,113.5514611,22.2002597,0,0
3,Reservat?rio Park,,121.2181244,25.0224148,0,3
4,Hac S? Beach Park (Hac S? Beach Campsite temporarily closed.),,113.5703704,22.121012,0,1
5,Lu?s de Cam?es Park,,113.5394888,22.19982,0,4
6,Comendador Ho Yin Park,,113.5492275,22.1925464,0,1
7,Dr. Carlos d' Assump??o Park,,113.5507155,22.1888198,0,3
8,Lou Lim Ioc Park,,113.5475653,22.2004144,0,2
9,Marginal da Areia Preta Park,,113.5559237,22.209374,0,4
10,Areia Preta Urban Park,,113.5559237,22.209374,0,4
11,Mong H? Hill Municipal Park,,113.5481368,22.2075985,0,4
12,Montanha Russa Park,,113.5525923,22.2043673,0,4
13,Dr. Sun Yat Sen Municipal Park,,113.5450724,22.2161809,0,3
14,S. Francisco Garden,,113.5446702,22.1924535,0,2
15,Vasco da Gama Garden,,113.5465303,22.1961949,0,0
16,Vit?ria Garden,,113.5487624,22.1986545,0,3
17,Arts Park,,113.5487801,22.1904618,0,5
18,Triangular da Areia Preta Garden,,113.5484637,22.210423,0,0
19,Iao Hon Market Park,,113.5524331,22.2110401,0,3
20,Flower City Park,,113.5569933,22.1564969,0,0
21,Monument Garden,,113.5424948,22.157535,0,4
22,Taipa Municipal Garden,,113.5594444,22.1541667,0,4
23,Dra. Laurinda M. Esparteiro Viewing Platform (Cross Garden),,113.5590567,22.1535527,0,5
24,Cais Garden,,113.5422521,22.1567724,0,0
25,Ramalho Eanes Garden,,113.55175,22.117959,0,2
26,Hac S? Park,,113.568988,22.1178969,0,0
27,Coloane Children's Park,,113.5507326,22.1153254,0,4
28,Cheoc Van Barbecue Park (Barbeque area temporarily closed),,113.5628772,22.1142997,0,1
29,Coloane Height Park,,113.564201,22.1224596,0,3
30,K? H? Height Barbecue Park(Barbeque area temporarily closed),,113.5752127,22.1291401,0,3
31,Central da Taipa Park,,113.5545917,22.1590583,0,4
32,Penha Garden,,113.533443,22.1848518,0,1
33,Chunambeiro Park,,113.5371833,22.1868129,0,3
34,D. Maria II Hill Park,,113.555439,22.203408,0,4
35,Municipal Kennel Garden,,113.5468583,22.2009089,0,5
36,Mount Fortress Park,,113.5423567,22.1969076,0,5
37,Edif. do Lago Podium Garden,,113.5612871,22.1589319,0,0
38,Palmeiras Park,,113.5566537,22.12801417,0,3
39,Courtyard Garden of IAM Building,,113.5396112,22.19334574,0,3
40,Seac Pai Van Urban Park,,113.557843,22.126259,0,0
41,Taipa Grande Natural Park,,113.5704876,22.1589978,0,4
42,Seac Pai Van Park,,113.557843,22.126259,0,2
43,K? H? Reservoir Natural Park (Temporarily closed),,113.5778932,22.1337694,0,1
44,Hac S? Reservoir Natural Park,,113.5712051,22.1242199,0,3
45,Mong H? Hill Fitness Trail,,113.547622,22.207903,0,0
46,Guia Hill Fitness Trail,,113.547622,22.207903,0,2
47,Taipa Grande Trail,,113.5704876,22.1589978,0,0
48,Taipa Pequena 2000 Circuit,,113.5469444,22.1608333,0,0
49,Coloane Trail,,113.5584677,22.1220397,0,3
50,Coloane Fitness Trail,,113.5584677,22.1220397,0,4
51,Coloane Seac Min Pun Ancient Path,,113.5666217,22.1172208,0,3
52,Coloane North-East Hiking Trail Network,,113.572226,22.1306931,0,2
53,Hac S? Reservoir Family Trail,,113.5712051,22.1242199,0,3
54,Hac S? Reservoir Fitness Trail,,113.571325,22.124296,0,1
55,Hac S? Long Chao Kok Coastal Trail,,113.5738003,22.1140433,0,1
56,Morro de Hac S? Family Trail,,113.5738003,22.1140433,0,4
57,K? H? Height Family Trail,,113.575211,22.12915,0,2
58,K? H? Reservoir Lakeside Trail(Temporarily closed),,113.5778932,22.1337694,0,1
59,Seac Pai Van Park Trail,,113.557843,22.126259,0,2
60,Lotus Cycle Track,,113.5521057,22.1440461,0,2
61,Leisure Area on Taipa Waterfront (Cycle Track),,113.5412124,22.1628562,0,2
62,Oscar Trail,,113.5574307,22.11495,0,4
63,Happy Farm,,114.0603984,22.4538983,0,1
64,Hac S? Beach Campsite (Temporarily closed),,113.5703704,22.121012,0,5
65,Oscar Farm,,113.5572936,22.1151652,0,3
66,Natural and Agrarian Museum,,113.556577,22.125819,0,5
67,The Sculpture Park of the Chinese Ethnics,,113.5495516,22.1917457,0,5
68,Macao Giant Panda Information Centre,,113.558979,22.126634,0,1
69,Coloane Arboretum,,113.5584344,22.1225531,0,4
70,Garden of Medicinal Plants,,113.5587451,22.12642635,0,3
71,Garden of Exotic Plants,,113.5594578,22.12799628,0,1
72,Guia Hill Nature Information Station,,113.5506685,22.20047134,0,5
73,Pavilion of Animal Specimens in Macao,,113.5528069,22.1169052,0,2
74,Leisure Area in Rua Quatro do Bairro Iao Hon,,113.5495482,22.2110493,0,2
75,Rotunda de Carlos da Maia,,113.5459818,22.2028725,0,3
76,Temporary Leisure Area in Rua de In?cio Baptista,,113.5566389,22.2121713,0,0
77,Temporary Leisure Area in Cal?ada do Bom Jesus,,113.5367312,22.1888526,0,3
78,Leisure Area in Travessa da Central T?rmica,,113.5396286,22.2046873,0,3
79,Leisure Area in Travessa 1? de Maio,,113.5396286,22.2046873,0,4
80,Leisure Area in Rua de Jo?o de Ara?jo,,113.5495482,22.2110493,0,0
81,Temporary Leisure Area in Travessa do Armaz?m Velho,,113.5396286,22.2046873,0,2
82,Leisure Area 1 in Rua do General Ivens Ferraz,,113.5412764,22.2069452,0,5
83,Leisure Area in Avenida de Dem?trio Cinatti,,113.5396286,22.2046873,0,3
84,Temporary Leisure Area in Rua Central da Areia Preta,,113.5566389,22.2121713,0,4
85,Leisure Area in Estrada Marginal da Ilha Verde,,113.5396286,22.2046873,0,5
86,Temporary Leisure Area in Beco do Cavalo,,113.5367327,22.1888783,0,2
87,Leisure Area in Rua da Boa Vista,,113.5358842,22.1872367,0,4
88,Leisure Area of Monkey King Temple in Lu?s de Cam?es Park,,113.53846,22.2007556,0,2
89,Leisure Area in Travessa Nova da Areia Preta,,113.5566389,22.2121713,0,1
90,Leisure Area in P?tio de Al?m-Bosque,,113.5382689,22.19973545,0,1
91,Temporary Leisure Area in Beco da Ostra,,113.5367258,22.1888526,0,0
92,Leisure Area in Rua da Barca,,113.5454783,22.20189575,0,0
93,Leisure Area in Rua de Kunming,,113.5494845,22.19325957,0,5
94,Leisure Area of Edif. Wang Hoi & Wang Kin,,113.543252,22.208155,0,2
95,Leisure Area in Rua Norte do Patane,,113.541529,22.209294,0,1
96,Leisure Area in Estrada Marginal do Hip?dromo,,113.5396286,22.2046873,0,1
97,Leisure Area in Rua de Lei Pou Ch'?n,,113.5396286,22.2046873,0,1
98,Leisure Area in Rua Marginal do Canal das Hortas (next to Caritas),,113.5396286,22.2046873,0,1
99,Temporary Leisure Area in Rua de Santa Filomena,,113.5566389,22.2121713,0,2
100,Leisure Area in Beco dos Cotovelos,,113.5386643,22.1962776,0,3
101,Temporary Leisure Area in Travessa de Chan Loc,,113.5354441,22.1921467,0,3
102,Leisure Area in Rua do Gamboa,,113.5396286,22.2046873,0,2
103,Leisure Area in Avenida do Oceano,,113.5412124,22.1628562,0,0
104,Leisure Area in Rua do Pai Kok,,113.551104,22.151976,0,2
105,Leisure Area in Travessa da Ba?a,,113.5598573,22.1622991,0,1
106,Leisure Area in Estrada Governador Albano de Oliveira,,113.5396286,22.2046873,0,5
107,Leisure Area in Lai Chi Vun,,113.55319,22.12056,0,1
108,Leisure Area in Pra?a de Jorge ?lvares,,113.5398722,22.1910159,0,1
109,Leisure Area on Taipa Waterfront(Cycle Track),,113.5412124,22.1628562,0,2
110,Leisure Area in Pra?a das Orqu?deas,,113.5398722,22.1910159,0,3
111,Leisure Area in Avenida Marginal do Lam Mau,,113.5396286,22.2046873,0,2
112,Leisure Area in Rua Central de T'oi S?n,,113.5416978,22.208564,0,3
113,Leisure Area in Rua da Miss?o de F?tima,,113.5466565,22.2112582,0,3
114,Wetland in Alto de Coloane,,113.5566389,22.2121713,0,1
115,K? H? Reservoir Freshwater Wetland  (Temporarily closed),,113.578727,22.129722,0,4
116,"Wetland in Avenida da Praia, Taipa",,113.5594947,22.1542898,0,3
117,Ecological Trail Garden of Medicinal and Aromatic Plants and South China Medicinal Plants Garden,,113.5578819,22.124907,0,3
118,Wetland in Seac Pai Van,,113.5622867,22.1267099,0,5
119,"Ecological trail in Avenida da Praia, Taipa",,113.5596179,22.153833,0,0
120,A-Ma Temple,,113.5312759,22.1861677,0,4
121,Moorish Barracks,,113.532605,22.18741,0,2
122,Lilau Square,,113.5349964,22.1883938,0,5
123,Mandarin's House,,113.5348871,22.1887021,0,1
124,St. Lawrence's Church,,113.5366602,22.19060015,0,3
125,St. Joseph's Seminary and Church,,113.5370878,22.19130425,0,2
126,St. Augustine's Square,,113.5378307,22.19218468,0,1
127,Dom Pedro V Theatre,,113.5381133,22.1919213,0,0
128,Sir Robert Ho Tung Library,,113.537724,22.1924228,0,5
129,St. Augustine's Church,,113.5383989,22.19227784,0,1
130,'Leal Senado' Building (now known as IAM Building),,113.5396158,22.19335926,0,3
131,Senado Square,,113.5397593,22.1935334,0,3
132,Sam Kai Vui Kun (Kuan Tai Temple),,113.5393824,22.1940388,0,1
133,Holy House of Mercy,,113.5401827,22.1937279,0,3
134,Cathedral,,113.5413833,22.19357409,0,2
135,Lou Kau Mansion,,113.5412315,22.1942136,0,1
136,St. Dominic's Church,,113.5404177,22.19472471,0,3
137,Ruins of St. Paul's,,113.5408604,22.1976747,0,4
138,Na Tcha Temple,,113.5406505,22.1977241,0,5
139,Section of the Old City Walls,,113.5405848,22.1977091,0,2
140,Mount Fortress,,113.5422215,22.19712916,0,2
141,St. Anthony's Church,,113.5393832,22.19900142,0,1
142,Casa Garden,,113.5398077,22.20034111,0,2
143,Protestant Cemetery,,113.5397938,22.19975529,0,3
144,Guia Fortress (including Guia Chapel and Lighthouse),,113.549566,22.196578,0,3
145,Barra Square,,113.5309439,22.18624474,0,0
146,Cathedral Square,,113.5410928,22.19378156,0,2
147,St. Dominic??s Square,,113.5404065,22.19472045,0,2
148,Company of Jesus Square,,113.5408054,22.1966098,0,1
149,Cam?es Square,,113.5405182,22.1942581,0,3
150,Macao Museum,,113.5421564,22.1971556,0,0
151,Mandarin's House,,113.5348972,22.18870971,0,2
152,Maritime Museum,,113.5305967,22.18595018,0,0
153,Wine Museum,,113.5528673,22.19469982,0,2
154,Macao Grand Prix Museum,,113.5529161,22.1949389,0,5
155,Macao Museum of Art,,113.5545896,22.1887159,0,0
156,Handover Gifts Museum of Macao,,113.5540717,22.1899165,0,1
157,Macao Science Center,,113.5568421,22.1860646,0,5
158,Treasure of Sacred Art,,113.5404735,22.19489135,0,5
159,Treasure of Sacred Art of St. Joseph??s Seminary,,113.5370729,22.19130053,0,4
160,Museum of Sacred Art and Crypt,,113.5407112,22.1979323,0,3
161,Dr. Sun Yat-Sen Memorial House in Macau,,113.5489154,22.1998876,0,0
162,Lou Kau Mansion,,113.5412315,22.1942136,0,0
163,Lin Zexu Memorial Museum of Macao,,113.547316,22.209618,0,4
164,Xian Xinghai Memorial Museum,,113.5489741,22.20536745,0,4
165,Fire Services Museum,,113.5434906,22.20018632,0,2
166,Museum of the Holy House of Mercy,,113.540202,22.193734,0,2
167,Natural and Agrarian Museum,,113.556577,22.125819,0,1
168,Taipa Houses,,113.5596179,22.153833,0,2
169,teamLab SuperNature Macao,,113.5584003,22.1488722,0,3
170,Sound of the Century - The Museum of Vintage Sound Machines,,113.5382638,22.19682959,0,3
171,Heritage Exhibition of a Traditional Pawnshop Business,,113.538218,22.194986,0,0
172,The Patane Night Watch House,,113.539582,22.2020261,0,5
173,Exhibition Room of Master Lu Ban??s Woodcraft Works,,113.5387662,22.19543934,0,5
174,The Na Tcha Exhibition Room,,113.5406224,22.197767,0,1
175,Museum of the Macao Security Forces,,113.544799,22.191604,0,3
176,Macao Tea Culture House,,113.5478278,22.1997222,0,4
177,Communications Museum,,113.5549697,22.20326346,0,1
178,Museum of Taipa and Coloane History,,113.5557165,22.1524253,0,2
179,The Sculpture Park of the Chinese Ethnics,,113.5495516,22.1917457,0,1
180,General Ye Ting's Former Residence,,113.5464756,22.2008315,0,5
181,Former Chong Sai Pharmacy,,113.5395663,22.1960637,0,3
182,Jao Tsung-I Academy,,113.5471605,22.19892689,0,4
183,Commemorative Gallery of the Macao Basic Law,,113.5524235,22.19546464,0,0
184,Tung Sin Tong Historical Archive Exhibition Hall,,113.538372,22.195037,0,4
185,Zheng Guanying Memorial Museum,,113.5447584,22.2135074,0,3
186,IAM Gallery,,113.5395798,22.19331382,0,0
187,Tap Seac Gallery,,113.5471311,22.1989392,0,5
188,Cinematheque?Passion,,113.5405517,22.1973198,0,0
189,Former Municipal Cattle Stable,,113.5463604,22.20716313,0,2
